"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HTATIP2",9.23695654694218e-05,0.234065809124855,0.16,0.199,1
"ANKRD6",9.24969007479052e-05,1.70560302466611,0.012,0.005,1
"EXOC3L1",9.25225722868115e-05,1.40645522410893,0.024,0.015,1
"RBM6",9.35441088904726e-05,0.774783797093483,0.121,0.159,1
"KDM4C",9.35666326175993e-05,0.190811025510988,0.025,0.037,1
"TIGIT",9.38039778032401e-05,-0.176758600757765,0.012,0.02,1
"ING5",9.40618245417965e-05,1.3442200471591,0.048,0.035,1
"SLC8B1",9.44325132720423e-05,0.228540394219661,0.057,0.076,1
"DTHD1",9.46779759995862e-05,2.48019448452816,0.013,0.006,1
"LL22NC03-86G7.1",9.50544035361221e-05,1.85374097324139,0.013,0.006,1
"SLC44A4",9.51088490310807e-05,0.379520897815702,0.017,0.009,1
"HSPA1L",9.52929318774253e-05,-0.154552624402814,0.005,0.011,1
"NT5DC2",9.55361598390504e-05,0.606069422498487,0.028,0.041,1
"EEF2",9.56643986167818e-05,0.134656488268914,0.767,0.893,1
"VPS51",9.5856746098939e-05,0.52056158908115,0.156,0.201,1
"CTD-2545M3.8",9.59623008524537e-05,1.42802510341694,0.015,0.007,1
"POLR2F",9.60742639885042e-05,0.771446404341988,0.321,0.346,1
"EIF2B2",9.63960489942308e-05,0.355683865469408,0.061,0.082,1
"HNRNPU",9.65981102905388e-05,0.459472702963656,0.508,0.57,1
"PNPLA4",9.69087229209822e-05,0.262969300548899,0.05,0.069,1
"HMGN5",9.75433719912057e-05,1.13057633571889,0.056,0.042,1
"UBR5",9.77168543919083e-05,1.10465979717369,0.097,0.081,1
"GABPB1",9.88735396037564e-05,0.4954402046978,0.183,0.234,1
"TMTC1",9.94312554107699e-05,1.34939529968255,0.053,0.039,1
"H1FX-AS1",9.99966696997586e-05,0.401278657738683,0.006,0.013,1
"PFKFB4",0.000100758107874274,-0.916952958823751,0.005,0.012,1
"APCDD1",0.000101047376232978,1.09243555358494,0.023,0.013,1
"CCDC85B",0.000101147679489305,0.56569792307828,0.393,0.425,1
"CCDC171",0.000101632232211345,1.81901525505889,0.011,0.005,1
"SORL1",0.000101867623052538,0.244393096537296,0.066,0.087,1
"DENND5A",0.000102157179465856,0.128817955045275,0.078,0.1,1
"TOR1B",0.00010331935768375,0.173591732345462,0.029,0.042,1
"UBE2Q2",0.000103551797620427,0.52638285226527,0.104,0.134,1
"MBD6",0.000104033808630681,0.23130379553069,0.042,0.058,1
"AHR",0.000104995395486395,0.682727529737125,0.215,0.203,1
"RRP9",0.000105717150298198,0.21182415981755,0.053,0.071,1
"ZFR",0.000106144655753172,1.02423243428435,0.136,0.121,1
"AHCYL1",0.000106735790363664,0.782341170580525,0.169,0.153,1
"AK6",0.000106782194682924,0.409070761063669,0.166,0.211,1
"CSPG4",0.00010684341278778,1.95007670603245,0.015,0.008,1
"ASNSD1",0.00010723233449186,0.638511501470557,0.126,0.163,1
"NARFL",0.000108262032513413,0.509198501022587,0.03,0.043,1
"EIF3H",0.000108806236500643,0.313845937170567,0.55,0.656,1
"EP400NL",0.000110078278013507,0.303102253832274,0.022,0.034,1
"GYPC",0.000110579739760432,0.586030475613048,0.324,0.446,1
"TMEM30A",0.000111187703995265,0.400609179716808,0.183,0.231,1
"MBNL2",0.000111744176843613,0.812700224135442,0.101,0.133,1
"HNRNPUL2",0.000111808899318089,1.01301762632627,0.097,0.081,1
"MGAT3",0.000112314471189677,1.9918353124808,0.012,0.006,1
"ZNF160",0.000112983185696997,1.56121261005127,0.039,0.027,1
"PRDM4",0.00011359638286683,0.1477393337799,0.024,0.036,1
"ZNF282",0.000114514797330386,-0.157564435481677,0.01,0.019,1
"PTPN11",0.000114701251484677,0.994937424055361,0.096,0.08,1
"ZC3HAV1",0.000114760150399356,0.493217082179427,0.166,0.209,1
"RIC8A",0.000114940454776327,0.514055860752709,0.09,0.117,1
"SMARCA2",0.000115188113013542,1.1542735581299,0.115,0.1,1
"ASCC3",0.000115267497693348,0.532797677600426,0.079,0.103,1
"FFAR2",0.000115496455441427,1.6348291020591,0.015,0.007,1
"USP21",0.000116102490750646,-0.272678552208343,0.007,0.014,1
"TIMM23B",0.000116207892682499,0.155636514269618,0.018,0.029,1
"LLNLR-245B6.1",0.000116349764136191,0.615565283316553,0.082,0.107,1
"MYSM1",0.000116509314820674,1.28976412553146,0.063,0.049,1
"CPD",0.00011663502405474,0.365555764970688,0.091,0.117,1
"SDHB",0.000118154787564403,0.252603652228396,0.265,0.333,1
"C11orf45",0.000118817520702807,-0.694768677370231,0.007,0.014,1
"HMCN1",0.000118975181601346,2.15538252679623,0.013,0.006,1
"PNPO",0.000118983424474511,0.100132839309349,0.026,0.038,1
"SSH3",0.00011903662851283,1.39022504458353,0.025,0.016,1
"ZNF646",0.000119205494650098,-0.224911054100214,0.011,0.019,1
"TOR1AIP1",0.000119282372448082,1.02570614715622,0.112,0.097,1
"DAG1",0.000119291745719319,1.36407040691885,0.043,0.03,1
